,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
67,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25468.099128899976
68,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25468.060784235364
69,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25468.022439561242
70,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.984094877596
71,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.945750184444
72,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.90740548179
73,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.869060769593
74,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.830716047927
75,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.792371316697
76,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.754026575978
77,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.715681825757
78,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.67733706598
79,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.638992296725
80,1026641.2671360113,0.0,1026641.2671360113,1026641.2671360113,19527.167667529946
81,295626.9289752487,0.0,295626.9289752487,295626.9289752487,6140.275424924435
82,151671.49904664166,0.0,151671.49904664166,151671.49904664166,3253.793247953505
83,166547.57171325563,0.0,166547.57171325563,166547.57171325563,3546.611892249435
84,218662.96076561607,0.0,218662.96076561607,218662.96076561607,4615.837028762465
85,208372.6892894058,0.0,208372.6892894058,208372.6892894058,4409.324614234843
86,215144.70603243698,0.0,215144.70603243698,215144.70603243698,4545.296779285696
87,216481.3074848593,0.0,216481.3074848593,216481.3074848593,4572.092022518674
88,233857.12636635025,0.0,233857.12636635025,233857.12636635025,4919.476685639409
89,591840.2177970968,0.0,591840.2177970968,591840.2177970968,11762.254312578347
90,653403.9291290819,0.0,653403.9291290819,653403.9291290819,12892.507317664007
91,827899.4081945326,0.0,827899.4081945326,827899.4081945326,16037.825347083895
92,1311750.7662968496,0.0,1311750.7662968496,1311750.7662968496,24381.687132089533
93,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.106196144214
94,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.067851233238
95,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25467.02950631275
96,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.991161382706
97,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.952816443176
98,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.914471494136
99,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.876126535597
100,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.83778156752
101,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.799436589936
102,1376812.057788075,0.0,1376812.057788075,1376812.057788075,25466.76109160282
103,1347386.328430445,0.0,1347386.328430445,1347386.328430445,24976.779468228546
104,830852.4074201955,0.0,830852.4074201955,830852.4074201955,16090.02657159459
105,148833.7347200364,0.0,148833.7347200364,148833.7347200364,3195.423974193227
106,94785.58680622966,0.0,94785.58680622966,94785.58680622966,2032.9217764109944
